artist,song,lyrics
Rihanna,Diamonds,"Shine bright like a diamond Shine bright like a diamond  Find light in the beautiful sea, I choose to be happy You and I, you and I, we're like diamonds in the sky You're a shooting star I see, a vision of ecstasy When you hold me, I'm alive, we're like diamonds in the sky  I knew that we'd become one right away Oh, right away At first sight I felt the energy of sun rays I saw the life inside your eyes  So shine bright, tonight, you and I We're beautiful like diamonds in the sky Eye to eye, so alive We're beautiful like diamonds in the sky  Shine bright like a diamond (whoa) Shine bright like a diamond (whoa) Shining bright like a diamond We're beautiful like diamonds in the sky ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Mac DeMarco,Heart To Heart,"To all the days we were together To all the time we were apart Of each other's lives Heart to heart  And so I had a late arrival So, we never saw the start Of each other's lives Heart to heart  Heart to heart Heart to heart ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Beyoncé,CUFF IT,"I feel like falling in love (falling in love) I'm in the mood to roll something up (tonight I'm rolling something up, baby) I need some drink in my cup (I need a drink), hey (pour me a drink) I'm in the mood to pour something up (I'm in the mood to pour something up)  I wanna go missing, I need a prescription I wanna go higher, can I sit on top of you? (Oh-la-la-la-la) I wanna go where nobody's been (I wanna go where nobody's been) Have you ever had fun like this? (Have you ever had fun like this?) oh, woah  We gon' roll up tonight, black lights Spaceships fly (spaceships fly), yeah Unapologetic when we pull up tonight (roll it up, roll it up), pull up tonight We gettin' poured up tonight We gon' pull up tonight  Bet you you'll see far Bet you you'll see stars Bet you you'll elevate Bet you you'll need God 'Cause I feel like falling in love I'm in the mood to pour something up 'Cause we gon' roll up tonight  What's in these four walls? You sexy, my love (turn it up) Don't miss this roll call, is you here or what? (Roll it up), yeah Show up, show up (show up, show up), pour up, pour up (pour up, pour up), oh ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Hotel Ugly,Shut up My Moms Calling,"I just want to rewind, I haven't seen you in a long time You got me feeling so lonely Even when you come through, I can tell That it isn't you, so baby bring it in closely  Hate the way I love you but you so sweet I always find a way to say the wrong things I wish that we were laying in the same sheets But lately, you've been acting like you hardly know me  Baby come home, home (so baby won't you say somethin') ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
ThxSoMch,SPIT IN MY FACE!,"Spit in my face, my love, it won't phase me Spit in my face, my love, it won't change me Spit in my face, my love, I've gone crazy Spit in my face, my love, I've gone mad  Spit in my face, my love, it won't phase me Spit in my face, my love, it won't change me Spit in my face, my love, I've gone crazy Spit in my face, my love, I've gone mad  This is your fault And I don't need you anyway Stumble out the bathroom Stumble out your arms again  She doing crank in the room with a noose and a Backwood The bitch still call me crazy, lil' ho, how does that work? She got the guest house jumpin' up with smoke out the attic You're right, I know we love to argue, let's get at it  Wasted, sippin' on that liquor, you can taste it ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Bad Bunny, Chencho Corleone",Me Porto Bonito,"Yeh-yeh-yeh-yeh-yeh-yeh, ey En la guagua se quedó el olor de tu perfume Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une Ella sabe que 'tá buenota y no la presumen Si yo fuera tu gato, subiera una foto lo' vierne' y lo' lune' (so)  Pa' que to' el mundo vea lo rica que tú está', que tú está' Contigo tengo que apretar Y en la calle ando suelto, pero por ti me quito Si tú me lo pide', yo me porto bonito  Y subo un selfi pa' que vean lo rica que tú está', que tú está' Las otra' tienen que apretar En la calle ando suelto, pero por ti me quito Si tú me lo pide', yo me porto bonito (ey, ey)  Tú no ere' bebecita, tú ere' bebesota Frikitona, ma, se te nota ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Peso Pluma, Natanael Cano",PRC,"Me levanto, un baño y luego me pongo a forjar Es veneno, da pa arriba de muy buena calidad Los teléfonos no paran nunca de sonar ¿Tienes alguna plebita? Es porque un cliente quiere más  Y bien forrados los paquetes van No hay pendiente, no puedo fallar Siempre estoy listo para cruzar Polvo, ruedas y también cristal  Aquí el papelito viene y va Las morritas bien locas se van Disfrutamos, esté bien o mal ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Nobody Gets Me,"Took a long vacation, no makeup, just Jay-Z You were balls deep, now we beefin', had me butt-naked at the MGM So wasted screamin', ""Fuck that,"" love me now, but I'm anythin' Hurry now, baby, stick it in 'fore the memories get to kickin' in  It's too late, I don't wanna lose what's left of you  How am I supposed to tell ya? I don't wanna see you with anyone but me Nobody gets me like you How am I supposed to let you go? Only like myself when I'm with you Nobody gets me, you do (do)  You do ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),"(Will wait for you, for you) Early in the morning, late at night (I will wait for you) It don't even matter what time it is (I will wait for you) Presidential Rollie already on the way (higher, sayin', ""Aye, yi, yi, yi"") Whenever I find time, it's okay (ayy) (ATL Jacob, ATL Jacob)  You pray for my demons, girl, I got you Every time I sip on codeine, I get vulnerable I'm knowin' the sounds of the storm when it come She understand I can't take her everywhere a nigga going I been in the field like the children of the corn  I can hear your tears when they drop over the phone Get mad at yourself 'cause you can't leave me alone Gossip, bein' messy, that ain't what we doing (world was ending)  Travel around the world (would you cry, or would you try to get me?) Over the phone, dropping tears (tell me now, I want you be clear, yeah) I get more vulnerable when I do drugs (tell me now, I need you to be clear, yeah) When you drunk, you tell me exactly how you feel (I will wait for you, for you) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Only Girl (In The World),"La-la-la-la La-la-la-la La-la-la-la (uh, yeah) La-la-la-la  I want you to love me Like I'm a hot ride (uh, yeah) Be thinking of me (uh) Doing what you like So, boy, forget about the world 'Cause it's gon' be me and you tonight (yeah) I wanna make you beg for it Then I'ma make you swallow your pride, oh (uh, uh)  Want you to make me feel like I'm the only girl in the world Like I'm the only one that you'll ever love Like I'm the only one who knows your heart Only girl in the world Like I'm the only one that's in command 'Cause I'm the only one who understands How to make you feel like a man, yeah  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Carin Leon, Grupo Frontera",Que Vuelvas,"We've been burnin' both ends Keepin' the lights on So I've been thinkin', we need A little time alone So, whatcha say we cancel our plans? Tonight I'm only gonna be your man  Let's get some candles burnin' and some records turnin' All the lights down low, take it nice and slow The way your body's movin', keep doin' what you're doin' To me all night long, writin' our love song  Girl, I want it, gotta have it Let the passion take us to a higher place Makin' the kind of love we make  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Luke Combs,The Kind of Love We Make,"Jump in that- (huh, huh), summon that bitch Jump in that- (huh, huh), jump in that fire, jump in that bitch Hitting that fire, jump in that whip (huh), thumbing that bitch Cum in that bitch (hoe), drumming that- (huh, huh) Drumming that bitch (yeah)  Chopper doing circles, it's a Vert', Vert' Take him to the party, he's a nerd (pop out) I seen niggas hitting corners in the motherfucking 'burbs, huh (pop out) Done politicking with the competition, what's the word? (Yeah) Put that on my mama, nigga, eight in the process Nigga tryna tippy-toe through the progress Tongue-tied when the truth is an object What's the pros and the cons of this next check? Wasn't nobody 'round, I was independent In the 90s, sitting bum with the windows tinted  Heard a bum got a strap in the party Who the fuck let this n- in the party? Beat 'em up, beat 'em up, beat 'em up, beat 'em up (ah) I was seeing double in the projects Mad at myself when I put it to the side Mama had to cater for the coupe that we rode after school on the way to Popeyes And niggas wanna play both sides It's a red dot, don't get on the wrong red eye  It's a headshot, Damien Kane, Woo, them guys Fuck around and bury two of them guys I'm OD in Paris, I'm OD in France I thought that I told you, I need the advance Put down your IG and look through my lens A million to grandma, who did I offend? The girl of your dreams to me is a fan I netted ten million and did a lil' dance I'm fucking the world, I unzip my pants  My uncle G told me that I had a chance So then I popped out and did it again And did it again and did it again ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),"Vibez (vibez)  Another banger  Baby, calm down, calm down Girl, this your body e put in my heart for lockdown, for lockdown, oh, lockdown Girl, you sweet like Fanta, ooh, Fanta, ooh If I tell you say, ""I love you"", you no dey form yanga, oh, oh, yanga, oh No, tell me no, no, no, no, woah-woah, woah-woah Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo, woah-woah-woah-woah-woah You got me like woah-woah-woah-woah-woah-woah-woah-woah-woah Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah, hmm  I see this fine girl, for my party she wear yellow Every other girl they dey do too much but this girl mellow Naim, I dey find situation, I go use take tell am hello Finally, I find way to talk to the girl but she no wan follow Who you come dey form for? Woah (mhmm) Why you no wan' conform? Woah (mhmm) Then I start to feel her bum-bum (mhmm) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Rema, Selena Gomez",Calm Down (with Selena Gomez),"All along it was a fever A cold sweat, hot-headed believer I threw my hands in the air, I said, ""Show me something"" He said, ""If you dare, come a little closer""  Round and around, and around, and around we go Oh, now, tell me now, tell me now, tell me now, you know  Not really sure how to feel about it Something in the way you move Makes me feel like I can't live without you It takes me all the way I want you to stay  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Rihanna, Mikky Ekko",Stay,"Feel it comin' in the air (yeah) Hear the screams from everywhere (yeah) I'm addicted to the thrill (I'm ready) It's a dangerous love affair (what's up? C'mon) Can't be scared when it goes down Got a problem, tell me now (what's up?) Only thing that's on my mind (what's up?) Is who gon' run this town tonight (uh, what's up? Uh) Is who gon' run this town tonight (yeah, what's up? Yeah) We gon' run this town  We are, yeah, I said it, we are This is Roc Nation, pledge your allegiance Get your fatigues on, all black everything Black cards, black cars, all black everything And our girls are blackbirds ridin' with they Dillingers I get more in depth if you boys really real enough This is La Familia, I'll explain later But for now, let me get back to this paper  I'm a couple bands down and I'm tryin' to get back I gave Doug a grip and lost a flip for five stacks Yeah, I'm talkin' five comma, six zeros, dot zeros, here Doug Back to runnin' circles 'round niggas, now we squared up Hold up  Life's a game, but it's not fair (yeah) I break the rules, so I don't care (uh-huh) So I keep doin' my own thing Walkin' tall against the rain (what's up?) Victory's within the mile Almost there, don't give up now (what's up?) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"JAY-Z, Rihanna, Kanye West",Run This Town,"(Where were you last week, when you stopped coming by?) (Stop playin' with 'em, RIOT)  Like, damn, she in ha mood (grah) Like, damn, she in ha mood (mood) Like, damn, she in ha mood (in ha mood) (She in ha mood, she in ha mood)  Like, damn, she in ha mood (she in ha mood) She lit, get money too (like) Like, damn, she in ha mood (She in ha mood, she in ha mood) (Damn)  In the mirror, I'm doin' my dance (like) And he packing I know by his pants (grah) He a rapper, but don't got a chance Stuck in my ways, so I'm loving my bands (damn) Like a million views in a day (like) It's so many ways to get paid (grah) I try dipping he beg me to stay ""Bae, I'm not staying I just wanna play"" (just wanna play)  In the party, he just wanna rump (rump) Big boobs and the butt stay plump (stay plump) She a baddie, she know she a ten (ten, baddie) She a baddie wit' her baddie friend (damn, friend) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Ice Spice,In Ha Mood,"I had a vision A vision of my nails in the kitchen Scratching counter tops, I was screaming My back arched like a cat My position couldn't stop You were hitting it ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"The Weeknd, Lana Del Rey",Stargirl Interlude,"Y'all niggas stop playin', nigga Y'all niggas know what the fuck goin' on Big 4L, big steppers Big footprints, pussy (Southside on the track, yeah) Pussy, pussy, pussy, pussy, pussy Pussy, pussy, okay, 21 (Honorable C.N.O.T.E.) Okay, 21, okay, 21 (okay) Okay, 21 (Metro Boomin want some more, nigga) 21, 21, 21  Big 4L, I'm a member (yeah) Leave an opp cold, like December (what?) .45 on me, it's a Kimber (and what?) AK knockin' down trees, like timber Get your baby mama 'fore we bend her (21) Hit the windshield, not the fender (21) Givin' out smoke my agenda (21) Throw the white flag, they surrender (pussy)  All black tux, I'm a businessman (pussy) Millionaire, still shakin' killers hand (woah) Take the plug off and the middle man (woah) Spray the whole block, I don't give a damn (woah) Fuck a nigga bitch, I'm a gentleman (21) 21, your bitch know I been the man (21) Playin' with the rock like I'm Jigga man ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"21 Savage, Metro Boomin",Glock In My Lap,"Georgia, wrap me up in all your- I want you in my arms Oh, let me hold you I'll never let you go again like I did Oh, I used to say  ""I would never fall in love again until I found her"" I said, ""I would never fall unless it's you I fall into"" ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),"Think I only want one number in my phone I might change your contact to ""Don't leave me alone"" You said you like my eyes and you like to make 'em roll Treat me like a queen, now you got me feelin' thrown, oh  But I can't help myself when you get close to me Baby, my tongue goes numb, sounds like ""bleh-blah-bleh"" I don't want no one else, baby, I'm in too deep Here's a lil' song I wrote (song I wrote) It's about you and me  I'll be honest Lookin' at you got me thinkin' nonsense Cartwheels in my stomach when you walk in When you got your arms around me, ooh, it feels so good  I had to jump the octave I think I got an ex, but I forgot him And I can't find my chill, I must have lost it ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,"Uh, me and my niggas tryna get it, ya bish (ya bish) Hit the house lick, tell me is you wit' it, ya bish? (Ya bish) Home invasion was persuasive (was persuasive) From nine-to-five I know it's vacant, ya bish (ya bish) Dreams of living life like rappers do (like rappers do) Back when condom wrappers wasn't cool (they wasn't cool) I fucked Sherane and went to tell my bros (tell my bros) Then Usher Raymond ""Let It Burn"" came on (""Let Burn"" came on)  Hot sauce all in our Top Ramen, ya bish (ya bish) Park the car then we start rhyming, ya bish (ya bish) The only thing we had to free our mind (free our mind) Then freeze that verse when we see dollar signs (see dollar signs) You looking like an easy come up, ya bish (ya bish) A silver spoon I know you come from, ya bish (ya bish) And that's a lifestyle that we never knew (we never knew) Go at a reverend for the revenue  It go Halle Berry or hallelujah Pick your poison, tell me what you doing Everybody gon' respect the shooter But the one in front of the gun lives forever (The one in front of the gun, forever) And I been hustling all day, this-a-way, that-a-way Through canals and alleyways, just to say Money trees is the perfect place for shade and that's just how I feel  Nah, nah, a dollar might just fuck your main bitch, that's just how I feel Nah, a dollar might say fuck them niggas that you came with, that's just how I feel Nah, nah, a dollar might just make that lane switch, that's just how I feel Nah, a dollar might turn to a million and we all rich, that's just how I feel  Dreams of living life like rappers do (like rappers do) Bump that new E-40 after school (way after school) You know ""Big Ballin' With My Homies"" (my homies) Earl Stevens had us thinkin' rational (thinkin' rational) Back to reality, we poor, ya bish (ya bish) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Sabrina Carpenter,Nonsense,"I'm going back to 505 If it's a seven-hour flight or a 45-minute drive In my imagination, you're waiting lying on your side With your hands between your thighs  Stop and wait a sec' Oh, when you look at me like that, my darling, what did you expect? I'd probably still adore you with your hands around my neck Or I did last time I checked  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Kendrick Lamar, Jay Rock",Money Trees,"Shoutout my label that's me I'm in this bitch with TB I'm in this bitch with Four-trey I just poured up me a eight Real nigga all in my face 500 racks in my safe 500 racks to the plug What you know 'bout showing love  What you know 'bout pullin' up, in Bentley trucks Make these bitches fall in love All of my niggas on go None of my niggas no hoe All of my niggas want smoke All of my niggas together We came from the bottom we used to wear each other clothes  None of my niggas gon' fold Couple pussy niggas told They ain't my niggas no mo' Hold it down for the four In the nine with the woes Marlo my dawg, that's for sho' We won't fall out about shit Specially not 'bout no bitch We ain't gone fallout 'bout hoes Me and Ced get them loads We let 'em go for the low I got my hood in control  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Arctic Monkeys,505,"Ceilings, plaster Can't you just make it move faster? Lovely to be sitting here with you You're kinda cute, but it's Raining harder My shoes are now full of water Lovely to be rained on with you It's kinda cute, but it's  So short Then you're driving me home And I don't wanna leave ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lil Baby,Freestyle,"In the night I hear 'em talk The coldest story ever told Somewhere far along this road He lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless?  How could you be so, cold as the winter wind when it breeze, yo Just remember that you talkin' to me though You need to watch the way you talkin' to me, yo I mean after all the things that we've been through I mean after all the things we got into Ayo, I know of some things that you ain't told me Ayo, I did some things, but that's the old me  And now you wanna get me back and you gon' show me So you walk around like you don't know me You got a new friend, well, I got homies But in the end it's still so lonely  In the night I hear 'em talk The coldest story ever told Somewhere far along this road ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lizzy McAlpine,ceilings,"What's goin' on, Mama? Something just dawned on me I ain't been home in some months Been chasin' songs and women Makin' some bad decisions God knows I'm drinkin' too much Yeah, I know you've been worrying 'bout me You've been losin' sleep since '93  I thought you should know That all those prayers you thought you wasted on me Must've finally made their way on through I thought you should know I got me a new girl down in Jefferson City, and She lets me fish whenever I want to  Yeah, I'm still proud of where I came from Still your only damn son Can you believe I'm on the radio? Just thought you should know Thought you should know Thought you should know  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kanye West,Heartless,"우-우, 우-우  우-우, 우-우  Stay in the middle, like you a little Don't want no riddle, 말해줘, say it back Oh, say it ditto, 아침은 너무 멀어 So say it ditto  훌쩍 커버렸어, 함께한 기억처럼 널 보는 내 마음은, 어느새 여름 지나 가을 기다렸지 all this time  Do you want somebody like I want somebody? 날 보고 웃었지만 do you think about me now, yeah? All the time, yeah? All the time?  I got no time to lose 내 길었던 하루, 난 보고 싶어 ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Thought You Should Know,"Take a look inside your heart, is there any room for me? (Any room for me) I would have to hold my breath 'til you get down on one knee (down on one knee) Because you only want to hold me when I'm looking good enough (looking good enough) Did you ever feel me? Would you ever picture us? (Ever picture us)  Every time I pull my hair, well, it's only out of fear That you'll find me ugly and one day we'll disappear Because what's the point of crying? It was never even love (never even love) Did you ever want me? Was I ever good enough? (Ever good enough)  Th-the boy's a liar The boy's a liar He doesn't see ya You're not looking at me, boy  The boy's a liar The boy's a liar He doesn't see ya You're not looking at me, boy  Good enough, 'ough-ough ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
NewJeans,Ditto,"Lift me up Hold me down  Keep me close Safe and sound  Burning in a hopeless dream Hold me when you go to sleep Keep me in the warmth of your love When you depart, keep me safe Safe and sound  Lift me up Hold me down ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
PinkPantheress,Boy's a liar,"Please don't stop the music (music, music, music, music) Please don't stop the music (music, music, music, music) Please don't stop the music (music, music, music, music) Please don't stop the music (music, music, music, music)  It's gettin' late, I'm making my way over to my favorite place I gotta get my body moving, shake the stress away I wasn't looking for nobody when you looked my way Possible candidate, yeah  Who knew that you'd be up in here lookin' like you do? You're making stayin' over here impossible Baby, I'ma say your aura is incredible If you don't have to go, don't  Do you know what you started? I just came here to party But now we're rockin' on the dance floor, actin' naughty Your hands around my waist, just let the music play We're hand in hand, chest to chest, and now we're face to face  I wanna take you away Let's escape into the music, DJ, let it play I just can't refuse it, like the way you do this Keep on rockin' to it Please don't stop the, please don't stop the music  I wanna take you away Let's escape into the music, DJ, let it play I just can't refuse it, like the way you do this Keep on rockin' to it Please don't stop the, please don't stop the, please don't stop the music  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,"Wish I would've met you Anywhere but where I did Some old high rise town that I won't ever go again I wish we woulda rolled around In some old cab and chased them city lights And hit bars I don't like  We were listenin' to one more silver dollar Hanging out my Silverado down a road I love to ride  Wish I would've known that by now you'd be good and gone And you'd leave us In a cloud of dust Can't you see what you're doin', girl? You ruined damn near everything I love  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Don't Stop The Music,"Things haven't been quite the same There's a haze on the horizon, baby It's only been a couple of days and I miss you Yeah  When nothin' really goes to plan You stub your toe or break your camera I'll do everythin' I can to help you through  If you're feelin' down, I just wanna make you happier, baby  Wish I was around, I just wanna make you happier, baby  We've been doin' all this late night talking 'Bout anything you wanted 'til the mornin' Now you're in my life ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Everything I Love,"I'm tryna put you in the worst mood, ah P1 cleaner than your church shoes, ah Milli point two just to hurt you, ah All red Lamb' just to tease you, ah None of these toys on lease too, ah Made your whole year in a week too, yah Main bitch out your league too, ah Side bitch out of your league too, ah  House so empty, need a centerpiece 20 racks a table cut from ebony Cut that ivory into skinny pieces Then she clean it with her face man I love my baby You talking money, need a hearing aid You talking bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain  Look what you've done I'm a motherfuckin' starboy Look what you've done I'm a motherfuckin' starboy  Every day a nigga try to test me, ah ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Harry Styles,Late Night Talking,"Cole Cole, world, yeah Let me take y'all back man As I do so well Wasn't nothin' like that  Man, it wasn't nothin' like that first, time She was in my math class Long hair, brown skin with the fat ass Sat beside me, used to laugh, had mad jokes The teacher always got mad so we passed notes It started off so innocent She had a vibe and a nigga started diggin' it I was a youngin' straight crushin' tryna play this shit cool But a nigga couldn't wait to get to school  'Cause when I seen 'em thighs on her And them hips on her and them lips on her Got me daydreaming, man what I'm thinkin' how she rides on it, if she sits on it If she licks on it Make it hard for me to stand up  As time goes by, attractions gettin' deep and Wet dreamin' thinkin' that I'm smashin' but I'm sleepin' I want it bad And I ain't never been obsessed before She wrote a note that said You ever had sex before? Damn  And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no I ain't never did this before, no ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"The Weeknd, Daft Punk",Starboy,"Good day in my mind, safe to take a step out Get some air now, let your edge out Too soon, I spoke, you be heavy in my mind Can you get the heck out? I need rest now, got me bummed out You so, you so, you, baby, baby, babe I've been on my empty mind shit  I try to keep from losin' the rest of me I worry that I wasted the best of me on you, baby You don't care Said, ""Not tryna be a nuisance, it's just urgent"" Tryna make sense of loose change Got me a war in my mind Gotta let go of weight, can't keep what's holdin' me Choose to watch While the world break up and fall on me  All the while, I'll await my armored fate with a smile ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
J. Cole,Wet Dreamz,"(I-I'm-) pull up lil' bitch like-, pull up lil' bitch like, yeah, huh I bought a Urus today, uh-huh Paint it all yellow, look like a bird (I-I'm-) Inside big body, two times two, my money, bitch All I got, yeah (I-I'm working on dying) I make money, my thot-thot-thot 'Bout to fold that money all up (ooh, BNYX)  Yeah, I'm swervin' it daily (ooh, oh) Yeah, I'm causin' a madness (ooh, oh) Yeah, I'm fuckin' the baddest, uh Yeah, I bought me the Crowdless (ooh, oh) I bought me the gems Yeah, I never need practice (ooh, oh) My money gon' double or triple Yeah, your money subtractin' (ooh, oh)  Yeah, peeled off on the jakes Peeled off on the cops Peeled off on a swerve (ooh, oh) Yeah, I ain't even fuckin' with nobody Bitch got a crib in the 'burbs (ooh, oh) Yeah, this shit could've gone so bad This shit could've gotten worse, yeah (ooh, oh) Yeah, free YSL out the chain gang, big fuck 12, they birds (brr) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Good Days,"Te bloqueé de Insta, pero por otra cuenta veo tus historias (oh-oh-oh) Tu número lo borré, no sé pa' qué si me lo sé de memoria Me hiciste daño y así te extraño Y aunque sé que un día te voy a olvidar Aún no lo hago, es complicado To' lo que hicimo' me gusta recordar  Ando manejando por las calles que me besaste Oyendo las canciones que un día me dedicaste Te diría que volvieras, pero eso no se pide Mejor le pido a Dios que me cuide  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Yeat,Out thë way,"I've been everywhere, man, looking for someone Someone who can please me Love me all night long I've been everywhere, man, looking for you, babe Looking for you, babe Searching for you, babe  Where have you been? 'Cause I never see you out Are you hiding from me, yeah? Somewhere in the crowd  Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah  Where have you been? All my life, all my life Where have you been all my life? Where have you been all my life? Where have you been all my life? ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Manuel Turizo,La Bachata,"It was late at night, you held on tight From an empty seat, a flash of light It will take a while to make you smile Somewhere in these eyes, I'm on your side  You wide-eyed girls, you get it right  Fall back into place Fall back into place ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Where Have You Been,"Arcángel, pa  A ella no le gusta el reggaetón Pero le encanta cómo canta la sensación (yeah) No fue mi intención (yeah-yeah) Quedarme con toa la atención Vivo en una mansión y no me sé ni la dirección (OMG) Está cabrón, muy cabrón Papi Arca, pídanme la bendición  Joder (tío) Mi casa es un hotel y se ve cabrona la vista (hermoso) En ella puedo aterrizar un avión Solo me falta la pista Imposible que falle esta combinación De flow una ensalada mixta (ah) Palomo, no insistas Cuando se habla de grandeza no estás en la lista  Neverland Los desmonto como LEGOLAND Y si yo te señalo, lo' mío' te lo dan Y vas pa dentro, pero de la van Del cuello pa arriba hace mucho frío Yo llego y cae nieve en el caserío Dejando sin regalos a estos malparíos Santa Claus, con la esencia del Grinch metío  Y yo la vi, anda con dos La amiga me miró Al VIP se pegó Claro que sí, claro que entró Hola Mi nombre es Arcángel, un gusto, un placer Hoy tú te vas con una leyenda que no va a volver a nacer  Ey, y ya la vi, anda con dos La amiga me miró Al VIP se pegó ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Beach House,Space Song,"Niggas want me to get ratchet Niggas want me to attack it Put the hood on, now they callin' me Cassius Raunchy like Bob Saget Greedy, I can't pass it  Eating everything, nigga, no fasting I don't care how much you knew me in the past tense I ain't no Julia Stiles, this ain't no last dance Way past it, way  Fuckin' on my ex 'cause he validate me Fuckin' up a check, I don't want no receipt Mind get possessed, let my spirit speak freely  Hey, my past can't escape me My pussy precedes me My, my, how the times change I'm still playin' the victim And you still playin' the pick-me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Arcángel, Bad Bunny",La Jumpa,"Jump in a whip that you've never seen (yeah) It got bulletproof glass and a ceiling screen (err) ""Let me guess, it cost you like a hundred thousand?"" No, little bitch, it cost seven beans (vyoom, I'm-) I'm doin' what you do in your dreams I fucked your bitch pussy, Vaseline (yeah) These bitches always wan' caption me Hatin' ass nigga turn me to meme (yeah)  Fucked all y'all bitches like ten of me On the real it was just me and Mean (yeah) We don't know how tall your girlfriend is When we saw her, she was on her knees (yeah) I cannot get tired of money But this money, it will turn people right into greed (one, two, yeah) I know he sick of my money (one, two, three), 'cause every time he call you (let's go) He wish that he called for me (yeah)  Benjamins sittin' in my left, right pocket, watch this These niggas broke boys, watch this, watch this (let's go) These niggas broke boys, watch this, watch this (watch) I can make the whole crowd mosh pit, watch this (woo) I can make your bitch wanna stop and watch this (watch) I can make your bitch wanna stop then pop it (pop) I ain't even drop no songs, still poppin' ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Blind,"Somebody hand me a cigarette I know I ain't had one in over a week Somebody pour me a double shot Been gettin' better by the day, but tonight I drink  You say I gotta get over you and get sober too I got a lot of habits I gotta kick Weigh out all your options and take your pick  I can either burn the bar down Or I can take your number out my phone I can give you up right now And never want you back long as I'm half-stoned If you want me to quit you, want me to get you Outta my heart and, baby, off my mind I hate to tell you, girl, but I'm only quittin' one thing at a time  I know I got me some problems About a thousand memories I gotta forget ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
