artist,song,lyrics,bert_nega,bert_posi,bert_score,nltk_neg,nltk_neu,nltk_pos,nltk_score
"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),"Sex symbol, the Black Seminole  A sex symbol, the Black Seminole  African Rambo with more ammo  Can't be escaped, I'm on every channel  What's wrong? What's wrong, Mr. Man? Your eyes are low And you're walking with both hands on your head His response, he's on a clean, clean high ",15,2,-0.48612881408018227,2,14,1,-0.03334705882352941
"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),"Yeah, 'cause girls is players too, uh Yeah, yeah, 'cause girls is players too (keep it player, baby) 'Cause girls is players too Bitches gettin' money all around the world 'Cause girls is players too  What you know 'bout livin' on the top? Penthouse suites, lookin' down on the opps? Took him for a test drive, left him on the lot Time is money, so I spent it on a watch, hol' on Lil' titties showin' through the white tee You can see the thong bussin' out my tight jeans (okay) Rocks on my fingers like a nigga wifed me Got another shorty? She ain't nothin' like me, yeah  'Bout to catch another fade (yeah) The apple bottom make 'em wanna bite (yeah) I just wanna have a good night ",16,2,-0.4318647583325704,0,18,0,0.06946666666666666
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),"Te bloqueé de Insta, pero por otra cuenta veo tus historias (oh-oh-oh) Tu número lo borré, no sé pa' qué si me lo sé de memoria Me hiciste daño y así te extraño Y aunque sé que un día te voy a olvidar Aún no lo hago, es complicado To' lo que hicimo' me gusta recordar  Ando manejando por las calles que me besaste Oyendo las canciones que un día me dedicaste Te diría que volvieras, pero eso no se pide Mejor le pido a Dios que me cuide  ",9,3,-0.2976105064153671,0,12,0,-0.04933333333333333
Lil Yachty,the BLACK seminole.,"Uh, me and my niggas tryna get it, ya bish (ya bish) Hit the house lick, tell me is you wit' it, ya bish? (Ya bish) Home invasion was persuasive (was persuasive) From nine-to-five I know it's vacant, ya bish (ya bish) Dreams of living life like rappers do (like rappers do) Back when condom wrappers wasn't cool (they wasn't cool) I fucked Sherane and went to tell my bros (tell my bros) Then Usher Raymond ""Let It Burn"" came on (""Let Burn"" came on)  Hot sauce all in our Top Ramen, ya bish (ya bish) Park the car then we start rhyming, ya bish (ya bish) The only thing we had to free our mind (free our mind) Then freeze that verse when we see dollar signs (see dollar signs) You looking like an easy come up, ya bish (ya bish) A silver spoon I know you come from, ya bish (ya bish) And that's a lifestyle that we never knew (we never knew) Go at a reverend for the revenue  It go Halle Berry or hallelujah Pick your poison, tell me what you doing Everybody gon' respect the shooter But the one in front of the gun lives forever (The one in front of the gun, forever) And I been hustling all day, this-a-way, that-a-way Through canals and alleyways, just to say Money trees is the perfect place for shade and that's just how I feel  Nah, nah, a dollar might just fuck your main bitch, that's just how I feel Nah, a dollar might say fuck them niggas that you came with, that's just how I feel Nah, nah, a dollar might just make that lane switch, that's just how I feel Nah, a dollar might turn to a million and we all rich, that's just how I feel  Dreams of living life like rappers do (like rappers do) Bump that new E-40 after school (way after school) You know ""Big Ballin' With My Homies"" (my homies) Earl Stevens had us thinkin' rational (thinkin' rational) Back to reality, we poor, ya bish (ya bish) ",42,19,-0.2301130587937402,2,57,2,-0.00021475409836065393
Coi Leray,Players,"Good day in my mind, safe to take a step out Get some air now, let your edge out Too soon, I spoke, you be heavy in my mind Can you get the heck out? I need rest now, got me bummed out You so, you so, you, baby, baby, babe I've been on my empty mind shit  I try to keep from losin' the rest of me I worry that I wasted the best of me on you, baby You don't care Said, ""Not tryna be a nuisance, it's just urgent"" Tryna make sense of loose change Got me a war in my mind Gotta let go of weight, can't keep what's holdin' me Choose to watch While the world break up and fall on me  All the while, I'll await my armored fate with a smile ",14,7,-0.20969885020028978,3,18,0,-0.03867619047619046
Manuel Turizo,La Bachata,"Somebody hand me a cigarette I know I ain't had one in over a week Somebody pour me a double shot Been gettin' better by the day, but tonight I drink  You say I gotta get over you and get sober too I got a lot of habits I gotta kick Weigh out all your options and take your pick  I can either burn the bar down Or I can take your number out my phone I can give you up right now And never want you back long as I'm half-stoned If you want me to quit you, want me to get you Outta my heart and, baby, off my mind I hate to tell you, girl, but I'm only quittin' one thing at a time  I know I got me some problems About a thousand memories I gotta forget ",11,14,0.04325448274612427,1,23,1,-0.002083999999999997
"Kendrick Lamar, Jay Rock",Money Trees,"In the night I hear 'em talk The coldest story ever told Somewhere far along this road He lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless?  How could you be so, cold as the winter wind when it breeze, yo Just remember that you talkin' to me though You need to watch the way you talkin' to me, yo I mean after all the things that we've been through I mean after all the things we got into Ayo, I know of some things that you ain't told me Ayo, I did some things, but that's the old me  And now you wanna get me back and you gon' show me So you walk around like you don't know me You got a new friend, well, I got homies But in the end it's still so lonely  In the night I hear 'em talk The coldest story ever told Somewhere far along this road ",20,5,-0.34400282859802245,1,23,1,-0.06605200000000001
SZA,Good Days,"He don't love me no more He don't love me no more (ooh, ooh-ooh)  Evergreen, he controls me Was there something wrong with my body? Am I not what you wanted, babe? If I ever tried, If I ever tried, I would  Evergreen (oh, oh) He tears me to pieces (oh, oh) (Evergreen, oh, oh) Doesn't even have to try (evergreen, oh, oh) ",12,3,-0.36884554227193195,0,15,0,-0.09446666666666667
Morgan Wallen,One Thing At A Time,"I wanna be your vacuum cleaner Breathing in your dust I wanna be your Ford Cortina I will never rust If you like your coffee hot Let me be your coffee pot You call the shots, babe I just wanna be yours  Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours  I wanna be yours Wanna be yours Wanna be yours ",7,13,0.15360234081745147,0,20,0,0.01806
Kanye West,Heartless,"Y'all niggas stop playin', nigga Y'all niggas know what the fuck goin' on Big 4L, big steppers Big footprints, pussy (Southside on the track, yeah) Pussy, pussy, pussy, pussy, pussy Pussy, pussy, okay, 21 (Honorable C.N.O.T.E.) Okay, 21, okay, 21 (okay) Okay, 21 (Metro Boomin want some more, nigga) 21, 21, 21  Big 4L, I'm a member (yeah) Leave an opp cold, like December (what?) .45 on me, it's a Kimber (and what?) AK knockin' down trees, like timber Get your baby mama 'fore we bend her (21) Hit the windshield, not the fender (21) Givin' out smoke my agenda (21) Throw the white flag, they surrender (pussy)  All black tux, I'm a businessman (pussy) Millionaire, still shakin' killers hand (woah) Take the plug off and the middle man (woah) Spray the whole block, I don't give a damn (woah) Fuck a nigga bitch, I'm a gentleman (21) 21, your bitch know I been the man (21) Playin' with the rock like I'm Jigga man ",40,2,-0.5503367384274801,3,35,4,-0.012638095238095242
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),"Cole Cole, world, yeah Let me take y'all back man As I do so well Wasn't nothin' like that  Man, it wasn't nothin' like that first, time She was in my math class Long hair, brown skin with the fat ass Sat beside me, used to laugh, had mad jokes The teacher always got mad so we passed notes It started off so innocent She had a vibe and a nigga started diggin' it I was a youngin' straight crushin' tryna play this shit cool But a nigga couldn't wait to get to school  'Cause when I seen 'em thighs on her And them hips on her and them lips on her Got me daydreaming, man what I'm thinkin' how she rides on it, if she sits on it If she licks on it Make it hard for me to stand up  As time goes by, attractions gettin' deep and Wet dreamin' thinkin' that I'm smashin' but I'm sleepin' I want it bad And I ain't never been obsessed before She wrote a note that said You ever had sex before? Damn  And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no I ain't never did this before, no ",34,9,-0.3277298780374749,2,38,3,-0.05801860465116279
Arctic Monkeys,I Wanna Be Yours,"I'm tryna put you in the worst mood, ah P1 cleaner than your church shoes, ah Milli point two just to hurt you, ah All red Lamb' just to tease you, ah None of these toys on lease too, ah Made your whole year in a week too, yah Main bitch out your league too, ah Side bitch out of your league too, ah  House so empty, need a centerpiece 20 racks a table cut from ebony Cut that ivory into skinny pieces Then she clean it with her face man I love my baby You talking money, need a hearing aid You talking bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain  Look what you've done I'm a motherfuckin' starboy Look what you've done I'm a motherfuckin' starboy  Every day a nigga try to test me, ah ",22,3,-0.4723807311058044,1,23,1,-0.12124
"21 Savage, Metro Boomin",Glock In My Lap,"Last night, all I think about is you Don't stop, baby, you can walk through Don't wanna, but I think about you You know that I'm never gonna lose  Road shimmer, wiggling the vision  Heat, heat waves, I'm swimming in a mirror Road shimmer, wiggling the vision Heat, heat waves, I'm swimmin' in a-  Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now  Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now  Usually, I put something on TV So we never think about you and me But today, I see our reflections clearly in Hollywood Laying on the screen  You just need a better life than this ",25,10,-0.2520281195640564,0,33,2,0.00566
J. Cole,Wet Dreamz,"(CB on the Beat) Oh, oh Oh, oh Oh Yeah, first thing, uh  Yeah, first things first, I pop a pill, after that, I crack a seal Then I go raw dog your ho, kids, don't try that shit at home I forgot how sober feel, life been gettin' super real Leave me 'lone, I'm in my zone, she do white like Home Alone My weed smell like death, am I too high? Yes Perky make me itch, crawlin' in my skin My weed smell like death, am I too high? Yes Perky make me itch, crawlin' in my skin  Don't know where I'm from, don't know where I been I got connections, like Verizon Don't start a riot, run up, don't try it I got my nine, are you ready to die, kid? ",28,4,-0.44387560710310936,1,27,4,0.07143124999999999
"The Weeknd, Daft Punk",Starboy,We done did so much around the law (21) I done seen so much I shouldn't have saw (straight up) Tatted tear drops called niagra falls It been up and down but never fall I been at the lock behind the wall (21) I been at the lock behind the  Ratchet bitches wanted Frenchie's not Felipe That's the type that put me in my mood She know that I'm hot but she come cool for me She know how to put me in my groove I know it's a lot that you can learn from me It's just one thing you that you gotta prove If you gotta walk would you still ride for me I might need a extra foot or two Gotta keep my distance they surrounding me I'mma need a extra foot or two They might have to go and build a house for me I'mma need a extra foot or  Crib same size as the galleria Spanish model with me call her señorita I dun fell in love with a hood girl She be puttin syrup in her margaritas Bought my college vibe a brand new Birkin On the weekend she be twerkin Take a shower in the Maybach ,16,15,-0.016619930344243205,1,30,0,0.015716129032258063
Glass Animals,Heat Waves,"Things haven't been quite the same There's a haze on the horizon, baby It's only been a couple of days and I miss you Yeah  When nothin' really goes to plan You stub your toe or break your camera I'll do everythin' I can to help you through  If you're feelin' down, I just wanna make you happier, baby  Wish I was around, I just wanna make you happier, baby  We've been doin' all this late night talking 'Bout anything you wanted 'til the mornin' Now you're in my life ",12,5,-0.25543832428315105,1,14,2,0.11765294117647057
"Trippie Redd, Juice WRLD",KNIGHT CRAWLER (feat. Juice WRLD),"I think I, I think I finally Found a way to forgive myself For the mistakes I made in my past I think that's the first step, right?  You agree?  I've dug two graves for us, my dear Can't pretend that I was perfect, leavin' you in fear Oh, man, what a world, the things I hear If I could act on my revenge, no, would I? Some kill, some steal, some break your heart ",14,4,-0.31123823920885724,3,14,1,-0.052038888888888885
"Metro Boomin, Travis Scott, 21 Savage",Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Hello I've waited here for you Everlong Tonight I throw myself into And out of the red, out of her head, she sang  Come down And waste away with me Down with me Slow how You wanted it to be  I'm over my head, out of her head she sang ",9,3,-0.2854201893011729,0,12,0,-0.035124999999999997
Harry Styles,Late Night Talking,"Yeah, yeah oh Yeah, yeah yeah  That's the way everyday goes Every time we've no control If the sky is pink and white If the ground is black and yellow It's the same way you showed me  Nod my head, don't close my eyes Halfway on a slow move It's the same way you showed me If you could fly then you'd feel south Up north's getting cold soon  The way it is, we're on land So I'm someone to hold true Keep you cool when it's still alive Won't let you down when it's all ruin  Just the same way you showed me, showed me ",13,5,-0.28097367617819047,0,16,2,0.07480555555555554
XXXTENTACION,Revenge,"Ay, ay, compa Junior Con esta pieza me dan ganas de echarme un shot Nomás no se me agüite, compa Óscar Ay, ay, ay Ahí le va, mija  Te compré las flores más bonitas en el antro Traigo una .40, por si te la tira un gato El dinero que yo traigo, mija, es pa gastarlo No como los gatos que te siguen ahí rogando  Súbete a la troca, vamos a la playa A mí no me importa si ya es noche o madrugada No me des excusas, no me des pendientes Somos dos personas que conectan con la mente  En una te llamo, en dos voy llegando En tres nos besamos y en cuatro te pongo el saldo ",9,7,-0.10089092329144478,0,16,0,-0.08841874999999999
Foo Fighters,Everlong,"What's goin' on, Mama? Something just dawned on me I ain't been home in some months Been chasin' songs and women Makin' some bad decisions God knows I'm drinkin' too much Yeah, I know you've been worrying 'bout me You've been losin' sleep since '93  I thought you should know That all those prayers you thought you wasted on me Must've finally made their way on through I thought you should know I got me a new girl down in Jefferson City, and She lets me fish whenever I want to  Yeah, I'm still proud of where I came from Still your only damn son Can you believe I'm on the radio? Just thought you should know Thought you should know Thought you should know  ",17,12,-0.11263799050758624,1,24,4,-0.012379310344827586
Frank Ocean,Pink + White,"Yeah It's all good (Yeah) Yeah You know how it feels (Yeah) All mine All mine Yeah All mine All mine All mine (It's all good) Yeah All mine All mine Yeah All mine All mine All mine (It's all good) Yeah  See let's keep it real We both still young So what's the rush The night is young and we not drunk enough You come around if I don't do too much We had our downs but we had way more ups Let's make love That be the reason that you always hit me up I swear You like the way I fuck cause I get rough You told me your new man don't make you nut That's a damn shame You come here, I knock yo pussy out the damn frame Remember that last time I made you miss yo damn plane Remember that last time I wet ya down wit champagne Remember that? And I know I've been the worst But I'll love you better If you let me Let's catch a flight, change the weather And I promise forever ",30,23,-0.08808435246629535,5,38,10,0.03871509433962264
"Oscar Maydon, Junior H",Fin de Semana,"M-M-M-Murda  Let's get it Hop off a 16 passenger This a G5, no, this not a Challenger (big one) I keep some members with me, the freaks get coach seats They some cannibals (eaters) They like to get geeked, drink a whole bottle, wake up and repeat (damn) She took a lil' (shh), mixed it with the (chill out) Now she said she seein' 3D (wow)  I go in the jungle and I ain't got a coat, I bet I come out with a mink (I bet I) Do this shit for the fam' 'cause this shit bigger than me (big) Color stones in my infinity link, and in the factory, masterpiece (factory) I call him twin 'cause that be my brother We got the same Rollie, he matchin' me (nah, for real)  Water on me like the sauna (wet), some karats, some pointers (woo) All these commas, I won't fumble (fumble) ",19,10,-0.1860015289536838,0,29,0,0.00946896551724138
Morgan Wallen,Thought You Should Know,"De todo ya pasé, claro que le batallé Lo saben dos o tres, no soy el mismo que era ayer Mercedes AMG, Clase G-63 Lo que un día soñé, todo ya me lo compré  Muy bueno para las cuentas, todo apunto en la libreta Ahí traigo la lista negra pa'l que se pase de verga Pura morrita bien buena, montada en mi camioneta Los radios suenan y suenan, pero yo siempre ando alerta  ¡Ea! ",9,5,-0.1894111590726035,0,12,2,-0.02114285714285714
Brent Faiyaz,ALL MINE,"Yeah, ah-ah-ah-ah (Ayy) let's go  생각은 곧 숨을 멈췄어, when you get back 내 다짐 따윈 한순간 풀어 헤쳐져 네겐 (oh-oh, oh, oh)  Come a little closer (oh-oh, oh, oh), 넌 속삭여 (oh-oh, oh, oh) 삼켜버려, the sugar rush (oh-oh, oh, oh) 밤하늘에 향연 (oh-oh, oh, oh), sweet desire (oh-oh, oh, oh) 꿈에 데려가는 침대맡에 liar  I can feel 거부할 수가 없어 달콤한 그 devilish smile 넌 능숙히 잠긴 내 문을 열어 어떡해? 저 별이 보여 (the devil said)  Ha, ha Gimme, gimme more, gimme, gimme more Ha, ha ",7,0,-0.6832684448787144,0,4,3,0.15562857142857142
"Quavo, Takeoff",HOTEL LOBBY (Unc & Phew),"Rain, he wanted it comfortable I wanted that pain He wanted a bride I was making my own name Chasing that fame He stayed the same All of me changed like midnight  My town was a wasteland Full of cages, full of fences Pageant queens and big pretenders But for some, it was paradise  My boy was a montage A slow-motion, love potion Jumping off things in the ocean I broke his heart 'cause he was nice  He was sunshine, I was midnight rain He wanted it comfortable I wanted that pain He wanted a bride ",10,10,-0.011086744070053101,2,13,5,0.13553500000000002
"Natanael Cano, Peso Pluma, Gabito Ballesteros",AMG,"She'd take the world off my shoulders if it was ever hard to move She'd turn the rain to a rainbow when I was living in the blue Why then if she's so perfect, do I still wish that it was you? Perfect don't mean that it's working, so what can I do? (Ooh)  When you're out of sight in my mind  'Cause sometimes I look in her eyes, and that's where I find a glimpse of us And I try to fall for her touch, but I'm thinking of the way it was Said, ""I'm fine"" and said, ""I moved on"" I'm only here passing time in her arms ",10,9,-0.03973937975732904,0,19,0,0.09306315789473685
TOMORROW X TOGETHER,Sugar Rush Ride,"You leapt from crumbling bridges Watching cityscapes turn to dust  Filming helicopters crashing In the ocean from way above  Got the music in you, baby Tell me why Got the music in you, baby Tell me why You've been locked in here forever And you just can't say goodbye  Kisses on the foreheads of the lovers Wrapped in your arms  You've been hiding them in hollowed out pianos Left in the dark  Got the music in you, baby ",9,6,-0.15411945978800456,0,14,1,0.031713333333333336
Taylor Swift,Midnight Rain,"Hey, ahw, get it Hey, ahw, get it, ye Hey, ahw, get it Hey, ahw, get it Hey, ahw, get it Hey You ain't nothing but a-  Dog, player, I get it Fraud, player, I get it I understand, I understand You ain't the man, you ain't a man (you ain't nothing but a-) Hound dog, hound dog, hound dog You ain't nothing but a-  Player getting valeted 'round in that whole whip Two fingers, set one down on my toes ten Fueled out with my boobs out, put a cork in it Love it when you be crying out when I'm corseted I don't think you gon' make it, do not let me start raging I'm losing my patience, this ain't staying in Vegas (you ain't nothing but a-)  There's more sides to the story, I'ma tell everybody Had your ass sitting courtside with your arm around me Had your ass sitting first class with your burnt ass out in Abu Dhabi Could've been what we should've been, but you lost a bet, now you gotta find me  ",25,6,-0.37094382509108514,1,30,0,-0.09689677419354839
Joji,Glimpse of Us,"What makes a grown man wanna cry? (Cry, cry, cry, cry) What makes him wanna take his life? Ah, ah (yeah) His happiness is never real (Real, real, real, real) And mindless sex is how he feels, ooh, he heals  When it's time, when it's time, when it's time It won't matter (it don't matter) It won't matter (matter) When it's time, when it's time, when it's time (time, it's time, babe) It won't matter (it won't matter, babe) It won't matter (ya)  It was like he was never there (it was like he was never there) It was like he was gone in thin air (oh) When it's time, when it's time, when it's time, oh, baby It won't matter (it won't matter, baby) It won't matter ",17,1,-0.5328093502256606,1,17,0,-0.02171111111111109
Cigarettes After Sex,Apocalypse,"Yeah Yeah Yeah  Your man on the road, he doin' promo You said, ""Keep our business on the low-low"" I'm just tryna get you out the friend zone 'Cause you look even better than the photos  I can't find your house, send me the info Drivin' through the gated residential Found out I was comin', sent your friends home Keep on tryna hide it but your friends know  I only call you when it's half past five The only time that I'd be by your side I only love it when you touch me, not feel me When I'm fucked up, that's the real me When I'm fucked up, that's the real me, yeah  I only call you when it's half past five The only time I'd ever call you mine I only love it when you touch me, not feel me When I'm fucked up, that's the real me ",14,13,-0.031978739632500544,0,24,3,0.08686666666666666
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),"Okay, okay, okay, okay Okay, okay, oh  You live in my dream state Relocate my fantasy I stay in reality You live in my dream state Any time I count sheep That's the only time we make up, make up You exist behind my eyelids, my eyelids Now I don't wanna wake up  20/20, 20/20 vision Cupid hit me, cupid hit me with precision I wonder if you look both ways When you cross my mind (Yeah), I said, I said I'm sick of, sick of, sick of, sick of chasing You're the one that's always running through my daydream, I I can only see your face when I close my eyes  Can I get a kiss? And can you make it last forever? ",16,10,-0.14693044699155366,1,21,4,0.05200384615384616
"The Weeknd, Gesaffelstein",I Was Never There,"Run that back, Turbo!  You can get the biggest Chanel bag in the store if you want it I gave 'em the drip, they sucked it up, I got 'em on it I bought a new Patek, I had the watch, so I two-toned 'em Taking these drugs, I'm gon' be up until the morning That ain't your car, you just a leaser, you don't own it If I'm in the club, I got that fire when I'm performing The backend just came in, in all hundreds Vibes galore, cute shit, they all on us I'm from Atlanta, where young niggas run shit I know they hating on me, but I don't read comments Whenever I tell her to come, she coming Whenever it's smoke, we ain't running  Drip too hard, don't stand too close You gon' fuck around and drown off this wave Doing all these shows, I've been on the road I don't care where I go, long as I get paid Bad lil' vibe, she been on my mind Soon as I get back, she getting slayed ",26,10,-0.2740231139792336,3,33,0,-0.10311666666666668
The Weeknd,The Hills,"I still hit them dive bars Every once in a blue moon Got a wild card I keep inside my boot  Been thinking lately maybe I should save it 'Cause them hangovers sure kick my ass these days So I spend most my happy hours here at home In the middle of growin' up, and gettin' old  But I can still raise hell all night with the boys when I want too Lay that hammer down to see how fast she'll go But these days I hang my hat on what I won't do And I've been finding peace of mind, slowing my role ",6,13,0.18274273370441638,0,17,2,0.03927368421052633
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),"Kiddo, Kiddo K-Kiddominant on the beat, better run it back  Fuckin' Robitussin I don't know why this shit got me lazy right now, yeah Can't do Percocets or Molly I'm turnin' one, tryna live it up here right, right, right  Baby, you can Ride it, ooh yeah Bring it over to my place And you be like, ""Baby, who cares?"" But I know you care Bring it over to my place  You don't know what you did, did to me Your body lightweight, speaks to me ",17,4,-0.3667860258193243,0,20,1,0.04360952380952381
"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),"Él te ama, te adora, lo da todo por ti Pero tú ere' una diabla que está loca por mí A ti te gusta lo malo, irte a fuego conmigo, eh-eh El pelo te jalo, estoy que te bendigo Aunque tú ere' pecado, eh, voy pa'l infierno si sigo Detrá' de ese culote, ya voy de camino  Hoy yo voy a buscarte despué' de la' doce Ya te quiero comer y repetir toa' la' pose' Hay que disimular y hacer que no me conoce' Pasa el día con él, yo soy tu gato de noche  Hoy yo voy a buscarte despué' de la' doce Ya te quiero comer y repetir toa' la' pose' Hay que disimular y hacer que no me conoce' Pasa el día con él, yo soy tu gato de noche  Canto 'e bellaca, ese toto vo'a martillarte (jajajajaja) En el Can-Am voy a buscarte (Real G) Ponte en cuatro, woman, que ese culo vo'a chuparte (plo, plo, plo) Loco por venirme, pero voy a esperar a que te venga' primero tú, sí (jajajaja)  ",14,7,-0.20031489928563437,0,21,0,-0.02819047619047619
Luke Combs,Growin' Up and Gettin' Old,I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  I'm in love when we are smokin' that la-la-la-la-la  Do what you want ,9,0,-0.6115354100863138,0,9,0,0.5747111111111111
Chris Brown,Under The Influence,"I don't wanna talk right now I just wanna watch TV I'll stay in the pool and drown So I don't have to watch you leave  I put on ""Survivor"", just to watch somebody suffer Maybe I should get some sleep Sinking in the sofa while they all betray each other What's the point of anything?  All of my friends are missing again That's what happens when you fall in love You don't have the time, you leave them all behind You tell yourself it's fine, you're just in love  ",11,6,-0.18797031570883357,0,15,2,-0.016041176470588232
"Ñengo Flow, Bad Bunny",Gato de Noche,"Take a look inside your heart, is there any room for me? (Any room for me) I would have to hold my breath 'til you get down on one knee (down on one knee) Because you only want to hold me when I'm looking good enough (looking good enough) Did you ever feel me? Would you ever picture us? (Ever picture us)  Every time I pull my hair, well, it's only out of fear That you'll find me ugly and one day we'll disappear Because what's the point of crying? It was never even love (never even love) Did you ever want me? Was I ever good enough? (Ever good enough)  Th-the boy's a liar The boy's a liar He doesn't see ya You're not looking at me, boy  The boy's a liar The boy's a liar He doesn't see ya You're not looking at me, boy  Good enough, 'ough-ough ",17,9,-0.19599390946901762,4,18,4,-0.06826538461538464
Childish Gambino,Me and Your Mama,"All I know it's 10:35 And I can feel your arms around me Let 'em drown me All I know it's 10:35 And I'm thanking, thanking God you found me That you found me  Everyday, I go places in my head Darker thoughts are harder now They look like monsters under my bed And every time, it's like a rocket through my chest The TV make you think the whole world's about to end  I don't know where this night is goin' (goin') But I know that you and me got somethin' (somethin') So many things that I'm afraid of (afraid of) But right now I ain't scared of nothin' ('Cause all I know is) (All I know is, all I, all I)  'Cause all I know it's 10:35 And I can feel your arms around me Let 'em drown me ",21,16,-0.0874825474378225,2,34,1,0.005216216216216221
Billie Eilish,TV,"Gimme, gimme, gimme some time to think I'm in the bathroom, looking at me Face in the mirror is all I need (ooh-ooh) Wait until the reaper takes my life Never gonna get me out alive I will live a thousand million lives (ooh-ooh)  My patience is waning, is this entertaining? Our patience is waning, is this entertaining?  I-I-I got this feeling, yeah, you know Where I'm losing all control 'Cause there's magic in my bones I-I-I got this feeling in my soul Go ahead and throw your stones 'Cause there's magic in my bones  Playing with the stick of dynamite There was never gray in black and white There was never wrong 'til there was right (ooh-ooh) ",19,4,-0.36699484223904816,0,23,0,0.10039565217391304
PinkPantheress,Boy's a liar,"Yeah Wheezy outta here  The dash, it's digi', the schedule busy My head in a hoodie, my shorty a goodie My cousins are crazy, my cousins like Boogie Life is amazin', it is what it should be Been here for ten but I feel like a rookie I tell her, look up, 'cause it's snowin' in Tootsie's  Booked for three years, man you can't even book me It's me and Lil' Baby, this shit goin' crazy Wheezy produced it and Weezy F. made me And she held it down, so she got a Mercedes Young Money Records, the Army, the Navy They ran me ten thousand, I threw it like Brady The foreign is yellow, like Tracee and K.D I trusted my niggas, they never betrayed me  Met all these niggas, they sweeter than Sadie ",29,6,-0.39518961565835137,1,29,5,0.027114285714285716
"Tiësto, Tate McRae",10:35,"Same bed but it feels just a little bit bigger now Our song on the radio but it don't sound the same When our friends talk about you All it does is just tear me down 'Cause my heart breaks a little When I hear your name  It all just sounds like ooh-ooh, ooh-ooh Mmm, too young, too dumb to realize  That I should've bought you flowers And held your hand Should've gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancing But she's dancing with another man ",11,8,-0.09233592058482923,0,17,2,0.07753157894736842
Imagine Dragons,Bones,"I been out, late night creepin', should I slide on bitches? Posted up with the militia Niggas ain't switchin', mind on missions Mind on pussy and millions, mind on pussy and millions I'm tryna call a sex symbol to eat my kids up They say more money, more problems (will) Bring on the problems (will) Bring on the problems (will) Bring on the motherfuckin' problems They say more money, more problems Bring on the problems Bring on the problems Bring on the motherfuckin' problems, ayy  Braided up and my two weeks up Hit 'em then I get amnesia Life ain't gettin' any easier Flocka, Flockasita I know that I'm not in love, she don't love me either It's just hard to find the love, this shit keep on gettin' deeper Who said it's cheaper to keep her? I'd rather release her Body ain't give her the wave like a feature You know the procedure Niggas is praying to God so we stay with the sweeper I'm reppin' 4L with my twinny, so treacherous introduce y'all to the leader  Come to me with all the smoke I like the money, for sure But I love the hustle the most She pretty, she show off her toes And my Pateks, they came with a pole Know this money bring envy and jealousy I'm like: ""Fuck it, I want me some more"" ",30,12,-0.25487219861575533,2,36,4,-0.09109523809523808
"Lil Baby, Drake",Yes Indeed,Are you sick of me? Would you like to be? I'm trying to tell you something Something that I already said  You like a pretty boy With a pretty voice Who is trying to sell you something Something that you already have  But if you're too drunk to drive And the music is right She might let you stay But just for the night And if she grabs for your hand And drags you along She might want a kiss Before the end of this song ,12,5,-0.2291721175698673,0,14,3,0.07948823529411764
Bruno Mars,When I Was Your Man,"Me levanto, un baño y luego me pongo a forjar Es veneno, da pa arriba de muy buena calidad Los teléfonos no paran nunca de sonar ¿Tienes alguna plebita? Es porque un cliente quiere más  Y bien forrados los paquetes van No hay pendiente, no puedo fallar Siempre estoy listo para cruzar Polvo, ruedas y también cristal  Aquí el papelito viene y va Las morritas bien locas se van Disfrutamos, esté bien o mal ",8,4,-0.24265954891840616,1,11,0,-0.06855833333333333
"Drake, 21 Savage, Travis Scott",Pussy & Millions (feat. Travis Scott),"They're rotting my brain, love These hoes are the same  I admit it, another hoe got me finished Broke my heart, oh no, you didn't Fuck sippin', I'ma down a whole bottle Hard liquor, hard truth, can't swallow Need a bartender, put me out of my sorrow Wake up the next day in the Monte Carlo With a new woman, tell me she from Colorado And she love women, she'll be gone by tomorrow  Who am I kiddin'? All this jealousy and agony that I sit in I'm a jealous boy, really feel like John Lennon I just want real love, guess it's been a minute ",19,3,-0.41197149049152026,2,19,1,-0.004036363636363636
