artist,song,lyrics
"Rema, Selena Gomez",Calm Down (with Selena Gomez),"Vibez (vibez)  Another banger  Baby, calm down, calm down Girl, this your body e put in my heart for lockdown, for lockdown, oh, lockdown Girl, you sweet like Fanta, ooh, Fanta, ooh If I tell you say, ""I love you"", you no dey form yanga, oh, oh, yanga, oh No, tell me no, no, no, no, woah-woah, woah-woah Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo, woah-woah-woah-woah-woah You got me like woah-woah-woah-woah-woah-woah-woah-woah-woah Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-woah-woah-woah-woah-woah, hmm  I see this fine girl, for my party she wear yellow Every other girl they dey do too much but this girl mellow Naim, I dey find situation, I go use take tell am hello Finally, I find way to talk to the girl but she no wan follow Who you come dey form for? Woah (mhmm) Why you no wan' conform? Woah (mhmm) Then I start to feel her bum-bum (mhmm) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Mac DeMarco,Heart To Heart,"To all the days we were together To all the time we were apart Of each other's lives Heart to heart  And so I had a late arrival So, we never saw the start Of each other's lives Heart to heart  Heart to heart Heart to heart ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lil Baby,Freestyle,"Shoutout my label that's me I'm in this bitch with TB I'm in this bitch with Four-trey I just poured up me a eight Real nigga all in my face 500 racks in my safe 500 racks to the plug What you know 'bout showing love  What you know 'bout pullin' up, in Bentley trucks Make these bitches fall in love All of my niggas on go None of my niggas no hoe All of my niggas want smoke All of my niggas together We came from the bottom we used to wear each other clothes  None of my niggas gon' fold Couple pussy niggas told They ain't my niggas no mo' Hold it down for the four In the nine with the woes Marlo my dawg, that's for sho' We won't fall out about shit Specially not 'bout no bitch We ain't gone fallout 'bout hoes Me and Ced get them loads We let 'em go for the low I got my hood in control  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),"(Will wait for you, for you) Early in the morning, late at night (I will wait for you) It don't even matter what time it is (I will wait for you) Presidential Rollie already on the way (higher, sayin', ""Aye, yi, yi, yi"") Whenever I find time, it's okay (ayy) (ATL Jacob, ATL Jacob)  You pray for my demons, girl, I got you Every time I sip on codeine, I get vulnerable I'm knowin' the sounds of the storm when it come She understand I can't take her everywhere a nigga going I been in the field like the children of the corn  I can hear your tears when they drop over the phone Get mad at yourself 'cause you can't leave me alone Gossip, bein' messy, that ain't what we doing (world was ending)  Travel around the world (would you cry, or would you try to get me?) Over the phone, dropping tears (tell me now, I want you be clear, yeah) I get more vulnerable when I do drugs (tell me now, I need you to be clear, yeah) When you drunk, you tell me exactly how you feel (I will wait for you, for you) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
beabadoobee,Glue Song,"I've never known someone like you, ooh Tangled in love, stuck by you From the glue Don't forget to kiss me Or else you'll have to miss me I guess I'm stuck forever by the glue Oh, and you  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Bad Bunny, Chencho Corleone",Me Porto Bonito,"Yeh-yeh-yeh-yeh-yeh-yeh, ey En la guagua se quedó el olor de tu perfume Tú ere' una bellaca, yo soy un bellaco, eso e' lo que no' une Ella sabe que 'tá buenota y no la presumen Si yo fuera tu gato, subiera una foto lo' vierne' y lo' lune' (so)  Pa' que to' el mundo vea lo rica que tú está', que tú está' Contigo tengo que apretar Y en la calle ando suelto, pero por ti me quito Si tú me lo pide', yo me porto bonito  Y subo un selfi pa' que vean lo rica que tú está', que tú está' Las otra' tienen que apretar En la calle ando suelto, pero por ti me quito Si tú me lo pide', yo me porto bonito (ey, ey)  Tú no ere' bebecita, tú ere' bebesota Frikitona, ma, se te nota ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"21 Savage, Metro Boomin",Glock In My Lap,"Y'all niggas stop playin', nigga Y'all niggas know what the fuck goin' on Big 4L, big steppers Big footprints, pussy (Southside on the track, yeah) Pussy, pussy, pussy, pussy, pussy Pussy, pussy, okay, 21 (Honorable C.N.O.T.E.) Okay, 21, okay, 21 (okay) Okay, 21 (Metro Boomin want some more, nigga) 21, 21, 21  Big 4L, I'm a member (yeah) Leave an opp cold, like December (what?) .45 on me, it's a Kimber (and what?) AK knockin' down trees, like timber Get your baby mama 'fore we bend her (21) Hit the windshield, not the fender (21) Givin' out smoke my agenda (21) Throw the white flag, they surrender (pussy)  All black tux, I'm a businessman (pussy) Millionaire, still shakin' killers hand (woah) Take the plug off and the middle man (woah) Spray the whole block, I don't give a damn (woah) Fuck a nigga bitch, I'm a gentleman (21) 21, your bitch know I been the man (21) Playin' with the rock like I'm Jigga man ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,I Wrote The Book,"When it comes to Hitchin' the boat up Backin' down the ramp In my old truck  To find a bunch of logs To catch a bunch of hogs Yeah, I wrote the book Yeah, I wrote the book  If you wanna learn To throw a curve right To catch a clean up Lookin' on a third strike  Talk a little smack While he's walkin' back Yeah, I wrote the book  But there's one that lays by the lamp on the nightstand One that says don't cuss and don't fight ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Beyoncé,CUFF IT,"I feel like falling in love (falling in love) I'm in the mood to roll something up (tonight I'm rolling something up, baby) I need some drink in my cup (I need a drink), hey (pour me a drink) I'm in the mood to pour something up (I'm in the mood to pour something up)  I wanna go missing, I need a prescription I wanna go higher, can I sit on top of you? (Oh-la-la-la-la) I wanna go where nobody's been (I wanna go where nobody's been) Have you ever had fun like this? (Have you ever had fun like this?) oh, woah  We gon' roll up tonight, black lights Spaceships fly (spaceships fly), yeah Unapologetic when we pull up tonight (roll it up, roll it up), pull up tonight We gettin' poured up tonight We gon' pull up tonight  Bet you you'll see far Bet you you'll see stars Bet you you'll elevate Bet you you'll need God 'Cause I feel like falling in love I'm in the mood to pour something up 'Cause we gon' roll up tonight  What's in these four walls? You sexy, my love (turn it up) Don't miss this roll call, is you here or what? (Roll it up), yeah Show up, show up (show up, show up), pour up, pour up (pour up, pour up), oh ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Hotel Ugly,Shut up My Moms Calling,"I just want to rewind, I haven't seen you in a long time You got me feeling so lonely Even when you come through, I can tell That it isn't you, so baby bring it in closely  Hate the way I love you but you so sweet I always find a way to say the wrong things I wish that we were laying in the same sheets But lately, you've been acting like you hardly know me  Baby come home, home (so baby won't you say somethin') ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
ThxSoMch,SPIT IN MY FACE!,"Spit in my face, my love, it won't phase me Spit in my face, my love, it won't change me Spit in my face, my love, I've gone crazy Spit in my face, my love, I've gone mad  Spit in my face, my love, it won't phase me Spit in my face, my love, it won't change me Spit in my face, my love, I've gone crazy Spit in my face, my love, I've gone mad  This is your fault And I don't need you anyway Stumble out the bathroom Stumble out your arms again  She doing crank in the room with a noose and a Backwood The bitch still call me crazy, lil' ho, how does that work? She got the guest house jumpin' up with smoke out the attic You're right, I know we love to argue, let's get at it  Wasted, sippin' on that liquor, you can taste it ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Nobody Gets Me,"Took a long vacation, no makeup, just Jay-Z You were balls deep, now we beefin', had me butt-naked at the MGM So wasted screamin', ""Fuck that,"" love me now, but I'm anythin' Hurry now, baby, stick it in 'fore the memories get to kickin' in  It's too late, I don't wanna lose what's left of you  How am I supposed to tell ya? I don't wanna see you with anyone but me Nobody gets me like you How am I supposed to let you go? Only like myself when I'm with you Nobody gets me, you do (do)  You do ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),"Jump in that- (huh, huh), summon that bitch Jump in that- (huh, huh), jump in that fire, jump in that bitch Hitting that fire, jump in that whip (huh), thumbing that bitch Cum in that bitch (hoe), drumming that- (huh, huh) Drumming that bitch (yeah)  Chopper doing circles, it's a Vert', Vert' Take him to the party, he's a nerd (pop out) I seen niggas hitting corners in the motherfucking 'burbs, huh (pop out) Done politicking with the competition, what's the word? (Yeah) Put that on my mama, nigga, eight in the process Nigga tryna tippy-toe through the progress Tongue-tied when the truth is an object What's the pros and the cons of this next check? Wasn't nobody 'round, I was independent In the 90s, sitting bum with the windows tinted  Heard a bum got a strap in the party Who the fuck let this n- in the party? Beat 'em up, beat 'em up, beat 'em up, beat 'em up (ah) I was seeing double in the projects Mad at myself when I put it to the side Mama had to cater for the coupe that we rode after school on the way to Popeyes And niggas wanna play both sides It's a red dot, don't get on the wrong red eye  It's a headshot, Damien Kane, Woo, them guys Fuck around and bury two of them guys I'm OD in Paris, I'm OD in France I thought that I told you, I need the advance Put down your IG and look through my lens A million to grandma, who did I offend? The girl of your dreams to me is a fan I netted ten million and did a lil' dance I'm fucking the world, I unzip my pants  My uncle G told me that I had a chance So then I popped out and did it again And did it again and did it again ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Lana Del Rey,A&W,"I haven't done a cartwheel since I was nine I haven't seen my mother in a long, long time I mean, look at me Look at the length of my hair and my face, the shape of my body Do you really think I give a damn What I do after years of just hearin' them talking?  I say I live in Rosemead, really, I'm at the Ramada It doesn't really matter, doesn't really, really matter  Call him up, come into my bedroom Ended up, we fuck on the hotel floor It's not about havin' someone to love me anymore This is the experience of bein' an American whore  Called up one drunk, called up another, Forensic Files wasn't on Watching Teenage Diary of a Girl, wondering what went wrong I'm a princess, I'm divisive, ask me why, why, why I'm like this Maybe I'm just kind of like this, I don't know maybe, I'm just like this  I say I live in Rosemead, really, I'm at the Ramada It doesn't really matter, doesn't really, really matter  Call him up, he comes over again Yeah, I know I'm over my head but, oh It's not about havin' someone to love me anymore No, this is the experience of bein' an American Whore  I mean look at my hair Look at the length of it and the shape of my body If I told you that I was raped Do you really think that anybody would think ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Carin Leon, Grupo Frontera",Que Vuelvas,"I had a vision A vision of my nails in the kitchen Scratching counter tops, I was screaming My back arched like a cat My position couldn't stop You were hitting it ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"The Weeknd, Lana Del Rey",Stargirl Interlude,"In the night I hear 'em talk The coldest story ever told Somewhere far along this road He lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless?  How could you be so, cold as the winter wind when it breeze, yo Just remember that you talkin' to me though You need to watch the way you talkin' to me, yo I mean after all the things that we've been through I mean after all the things we got into Ayo, I know of some things that you ain't told me Ayo, I did some things, but that's the old me  And now you wanna get me back and you gon' show me So you walk around like you don't know me You got a new friend, well, I got homies But in the end it's still so lonely  In the night I hear 'em talk The coldest story ever told Somewhere far along this road ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Kanye West,Heartless,"Wake me up when the season's gone 'Cause I've wasted all my dawns on you So what do I do? Oh, what I do?  I get fucked up just 'cause I'm scared Love's just another drug I have grown a victim to So what do I do? Oh, what do I do?  All is fair in love and war So what the hell are we even fightin' for? I'm on your front porch beggin' for my dawns back Give my goddamn records and my clothes back 'Cause I'm through Oh, how I'm through  And by the time she wakes, I'll be halfway to my mama's home It just dawned on me, life is as fleeting as the passin' dawn And it was my mistake 'cause she never said a thing about Jesus ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Zach Bryan, Maggie Rogers",Dawns (feat. Maggie Rogers),"(I-I'm-) pull up lil' bitch like-, pull up lil' bitch like, yeah, huh I bought a Urus today, uh-huh Paint it all yellow, look like a bird (I-I'm-) Inside big body, two times two, my money, bitch All I got, yeah (I-I'm working on dying) I make money, my thot-thot-thot 'Bout to fold that money all up (ooh, BNYX)  Yeah, I'm swervin' it daily (ooh, oh) Yeah, I'm causin' a madness (ooh, oh) Yeah, I'm fuckin' the baddest, uh Yeah, I bought me the Crowdless (ooh, oh) I bought me the gems Yeah, I never need practice (ooh, oh) My money gon' double or triple Yeah, your money subtractin' (ooh, oh)  Yeah, peeled off on the jakes Peeled off on the cops Peeled off on a swerve (ooh, oh) Yeah, I ain't even fuckin' with nobody Bitch got a crib in the 'burbs (ooh, oh) Yeah, this shit could've gone so bad This shit could've gotten worse, yeah (ooh, oh) Yeah, free YSL out the chain gang, big fuck 12, they birds (brr) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Yeat,Out thë way,Yellow diamonds in the light Now we're standing side by side As your shadow crosses mine What it takes to come alive  It's the way I'm feeling I just can't deny But I've gotta let it go  We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place We found love in a hopeless place  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
"Rihanna, Calvin Harris",We Found Love,"Georgia, wrap me up in all your- I want you in my arms Oh, let me hold you I'll never let you go again like I did Oh, I used to say  ""I would never fall in love again until I found her"" I said, ""I would never fall unless it's you I fall into"" ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Post Malone, Doja Cat",I Like You (A Happier Song) (with Doja Cat),"Uh-huh, uh-huh (Yeah, Rihanna) Uh-huh, uh-huh (Good girl, gone bad) Uh-huh, uh-huh (Take three, action) Uh-huh, uh-huh (Hov)  No clouds in my stones Let it rain, I hydroplane in the bank Comin' down like the Dow Jones When the clouds come, we gone  We Roc-A-Fellas We fly higher than weather In G5's or better  You know me (You know me) In anticipation for precipitation Stack chips for the rainy day Jay, Rain Man is back, with Little Miss Sunshine Rihanna, where you at?  You have my heart And we'll never be worlds apart Maybe in magazines But you'll still be my star  Baby, 'cause in the dark You can't see shiny cars And that's when you need me there With you, I'll always share  Because  When the sun shine, we shine together Told you I'll be here forever Said I'll always be your friend Took an oath, I'ma stick it out to the end  Now that it's raining more than ever Know that we'll still have each other You can stand under my umbrella ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,"Uh, me and my niggas tryna get it, ya bish (ya bish) Hit the house lick, tell me is you wit' it, ya bish? (Ya bish) Home invasion was persuasive (was persuasive) From nine-to-five I know it's vacant, ya bish (ya bish) Dreams of living life like rappers do (like rappers do) Back when condom wrappers wasn't cool (they wasn't cool) I fucked Sherane and went to tell my bros (tell my bros) Then Usher Raymond ""Let It Burn"" came on (""Let Burn"" came on)  Hot sauce all in our Top Ramen, ya bish (ya bish) Park the car then we start rhyming, ya bish (ya bish) The only thing we had to free our mind (free our mind) Then freeze that verse when we see dollar signs (see dollar signs) You looking like an easy come up, ya bish (ya bish) A silver spoon I know you come from, ya bish (ya bish) And that's a lifestyle that we never knew (we never knew) Go at a reverend for the revenue  It go Halle Berry or hallelujah Pick your poison, tell me what you doing Everybody gon' respect the shooter But the one in front of the gun lives forever (The one in front of the gun, forever) And I been hustling all day, this-a-way, that-a-way Through canals and alleyways, just to say Money trees is the perfect place for shade and that's just how I feel  Nah, nah, a dollar might just fuck your main bitch, that's just how I feel Nah, a dollar might say fuck them niggas that you came with, that's just how I feel Nah, nah, a dollar might just make that lane switch, that's just how I feel Nah, a dollar might turn to a million and we all rich, that's just how I feel  Dreams of living life like rappers do (like rappers do) Bump that new E-40 after school (way after school) You know ""Big Ballin' With My Homies"" (my homies) Earl Stevens had us thinkin' rational (thinkin' rational) Back to reality, we poor, ya bish (ya bish) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Rihanna, JAY-Z",Umbrella,"I'm going back to 505 If it's a seven-hour flight or a 45-minute drive In my imagination, you're waiting lying on your side With your hands between your thighs  Stop and wait a sec' Oh, when you look at me like that, my darling, what did you expect? I'd probably still adore you with your hands around my neck Or I did last time I checked  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Kendrick Lamar, Jay Rock",Money Trees,Strange light revolves around you You float across the room Your touch is made of something Heaven can't hold a candle to You're made of something new  Let's not get complicated Let's just enjoy the view It's hard to be a human So much to put an answer to But that's just what we do  God only knows where this could go And even if our love starts to grow out of control And you and me go up in flames Heaven won't be the same  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Arctic Monkeys,505,"We've been burnin' both ends Keepin' the lights on So I've been thinkin', we need A little time alone So, whatcha say we cancel our plans? Tonight I'm only gonna be your man  Let's get some candles burnin' and some records turnin' All the lights down low, take it nice and slow The way your body's movin', keep doin' what you're doin' To me all night long, writin' our love song  Girl, I want it, gotta have it Let the passion take us to a higher place Makin' the kind of love we make  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Niall Horan,Heaven,"Me levanto, un baño y luego me pongo a forjar Es veneno, da pa arriba de muy buena calidad Los teléfonos no paran nunca de sonar ¿Tienes alguna plebita? Es porque un cliente quiere más  Y bien forrados los paquetes van No hay pendiente, no puedo fallar Siempre estoy listo para cruzar Polvo, ruedas y también cristal  Aquí el papelito viene y va Las morritas bien locas se van Disfrutamos, esté bien o mal ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Luke Combs,The Kind of Love We Make,"Yeah, ETB Why you being weird to me?  Ayy, rip off my shirt if you love me (love me) Spit in my face when you fuck me (fuck me) Play with my gooch, while you suck me (suck me) Eat the dick like you was ugly  I mean, hold on, wait Where your friend? Bring your buddy (your buddy) I don't think that you enoughie (enoughie) Her favorite thing to say is, ""Cuff me""  Slut me out (out) Slut me out (out) Slut (slut), slut (slut) Slut me out  Rip off my shirt if you love me (sexy) Spit in my face when you fuck me (come sex me) Play with my gooch, while you suck me (don't text me) ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Peso Pluma, Natanael Cano",PRC,"What's goin' on, Mama? Something just dawned on me I ain't been home in some months Been chasin' songs and women Makin' some bad decisions God knows I'm drinkin' too much Yeah, I know you've been worrying 'bout me You've been losin' sleep since '93  I thought you should know That all those prayers you thought you wasted on me Must've finally made their way on through I thought you should know I got me a new girl down in Jefferson City, and She lets me fish whenever I want to  Yeah, I'm still proud of where I came from Still your only damn son Can you believe I'm on the radio? Just thought you should know Thought you should know Thought you should know  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
NLE Choppa,SLUT ME OUT,"I'm tryna put you in the worst mood, ah P1 cleaner than your church shoes, ah Milli point two just to hurt you, ah All red Lamb' just to tease you, ah None of these toys on lease too, ah Made your whole year in a week too, yah Main bitch out your league too, ah Side bitch out of your league too, ah  House so empty, need a centerpiece 20 racks a table cut from ebony Cut that ivory into skinny pieces Then she clean it with her face man I love my baby You talking money, need a hearing aid You talking bout me, I don't see the shade Switch up my style, I take any lane I switch up my cup, I kill any pain  Look what you've done I'm a motherfuckin' starboy Look what you've done I'm a motherfuckin' starboy  Every day a nigga try to test me, ah ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Morgan Wallen,Thought You Should Know,"Did you forget? Do it for life Chicago that time All bullshit aside Wonderful vibe Wonderful night Did it with Trav All the kids, you and I Off in this club Bumpin and grindin Who made it flood You see the signs (signs)  We pulled out the feathers for this type of weather She pulled to club, to buss up a dub She came with her man, I called in a sub She givin' out hugs, we know 'bout them hugs She put in my hand, don't know what it was She know some of the fam, but don't know enough My trust is In God We Trust  Sippin' on wok, don't do tuss She got her own fans, she need her a bus Might give her a chance, it's givin' her Out in a trance it's givin' her Not on them Xans is givin her Nigga with bands is givin her A nigga with plans is givin her ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"The Weeknd, Daft Punk",Starboy,"Cole Cole, world, yeah Let me take y'all back man As I do so well Wasn't nothin' like that  Man, it wasn't nothin' like that first, time She was in my math class Long hair, brown skin with the fat ass Sat beside me, used to laugh, had mad jokes The teacher always got mad so we passed notes It started off so innocent She had a vibe and a nigga started diggin' it I was a youngin' straight crushin' tryna play this shit cool But a nigga couldn't wait to get to school  'Cause when I seen 'em thighs on her And them hips on her and them lips on her Got me daydreaming, man what I'm thinkin' how she rides on it, if she sits on it If she licks on it Make it hard for me to stand up  As time goes by, attractions gettin' deep and Wet dreamin' thinkin' that I'm smashin' but I'm sleepin' I want it bad And I ain't never been obsessed before She wrote a note that said You ever had sex before? Damn  And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no And I ain't never did this before, no I ain't never did this before, no ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug),"(Honorable C.N.O.T.E.) (Metro)  Keep the bitch jump, uh-uh Keep it on jump, uh-uh (jump) Keep the bitch ju-u-ump I caught it cool, for a ten The bitch get loose, she tryna win I beat her by the house, I beat her in There's forty in the couch, I let her spend  When the car's lit, better call in She done popped all out, she done called twin I done went too spazzed out, I put the raw in I done hit the strip club and spent a tall ten Lil' shawty off the Clicquot She been comin' hot just like a heat stroke (heat stroke) I could see you lurkin' through the peephole I'm stackin' different money, type of C notes (C notes) I'm talkin' C notes, nigga, hit C notes  You spend what you want and you get what you want I guess you got what you wanted You're hittin' the pole and you give it your all Now, you keepin' it honest (Yeah) It's too many nights I went nameless ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
J. Cole,Wet Dreamz,"And you got me like oh What you want from me? (What you want from me?) And tried to buy your pretty heart But the price's too high  Baby you got me like oh You love when I fall apart (Fall apart) So you can put me together And throw me against the wall  Baby you got me like ah, woo, ah  Don't you stop loving me (Loving me) Don't quit loving me (Loving me) Just start loving me (Loving me)  Oh, and babe I'm fist fighting with fire Just to get close to you Can we burn something babe? And I'll run for miles just to get a taste ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),"Think I only want one number in my phone I might change your contact to ""Don't leave me alone"" You said you like my eyes and you like to make 'em roll Treat me like a queen, now you got me feelin' thrown, oh  But I can't help myself when you get close to me Baby, my tongue goes numb, sounds like ""bleh-blah-bleh"" I don't want no one else, baby, I'm in too deep Here's a lil' song I wrote (song I wrote) It's about you and me  I'll be honest Lookin' at you got me thinkin' nonsense Cartwheels in my stomach when you walk in When you got your arms around me, ooh, it feels so good  I had to jump the octave I think I got an ex, but I forgot him And I can't find my chill, I must have lost it ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Love On The Brain,"Good day in my mind, safe to take a step out Get some air now, let your edge out Too soon, I spoke, you be heavy in my mind Can you get the heck out? I need rest now, got me bummed out You so, you so, you, baby, baby, babe I've been on my empty mind shit  I try to keep from losin' the rest of me I worry that I wasted the best of me on you, baby You don't care Said, ""Not tryna be a nuisance, it's just urgent"" Tryna make sense of loose change Got me a war in my mind Gotta let go of weight, can't keep what's holdin' me Choose to watch While the world break up and fall on me  All the while, I'll await my armored fate with a smile ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Sabrina Carpenter,Nonsense,"Last night, all I think about is you Don't stop, baby, you can walk through Don't wanna, but I think about you You know that I'm never gonna lose  Road shimmer, wiggling the vision  Heat, heat waves, I'm swimming in a mirror Road shimmer, wiggling the vision Heat, heat waves, I'm swimmin' in a-  Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now  Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now  Usually, I put something on TV So we never think about you and me But today, I see our reflections clearly in Hollywood Laying on the screen  You just need a better life than this ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
SZA,Good Days,"Te bloqueé de Insta, pero por otra cuenta veo tus historias (oh-oh-oh) Tu número lo borré, no sé pa' qué si me lo sé de memoria Me hiciste daño y así te extraño Y aunque sé que un día te voy a olvidar Aún no lo hago, es complicado To' lo que hicimo' me gusta recordar  Ando manejando por las calles que me besaste Oyendo las canciones que un día me dedicaste Te diría que volvieras, pero eso no se pide Mejor le pido a Dios que me cuide  ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Glass Animals,Heat Waves,"Yayo, yayo Moo-la-lah Yayo  Bitch better have my money! Y'all should know me well enough Bitch better have my money! Please don't call me on my bluff Pay me what you owe me Ballin' bigger than LeBron Bitch, give me your money Who y'all think y'all frontin' on? Like brrap, brrap, brrap  Louis 13 and it's all on me, nigga you just Bought a shot Kamikaze if you think that you gon' knock me Off the top Shit, your wife in the backseat of my brand New foreign car Don't act like you forgot, I call the shots Shots, shots Like blah, brrap, brrap Pay me what you owe me, don't act like you Forgot ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Manuel Turizo,La Bachata,"It was late at night, you held on tight From an empty seat, a flash of light It will take a while to make you smile Somewhere in these eyes, I'm on your side  You wide-eyed girls, you get it right  Fall back into place Fall back into place ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Bitch Better Have My Money,"Hello I've waited here for you Everlong Tonight I throw myself into And out of the red, out of her head, she sang  Come down And waste away with me Down with me Slow how You wanted it to be  I'm over my head, out of her head she sang ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Beach House,Space Song,"Mustard on the beat ho!  I was good on my own, that's the way it was, that's the way it was You was good on the low for a faded fuck, on some faded love Shit, what the fuck you complaining for? Feeling jaded huh? Used to trip off that shit I was kickin' to you Had some fun on the run though I give it to you  But baby, don't get it twisted You was just another nigga on the hit list Tryna fix your inner issues with a bad bitch Didn't they tell you that I was a savage Fuck your white horse and a carriage Bet you never could imagine ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Foo Fighters,Everlong,"I know you waiting Getting fed up, you're running out of patience Just keep your head up, I told you, ""we'd make it"" Can't give my meds up, I see too many faces, uh In 'em foreign's racing Best make it count, make sure it's no time wasted I beat the trenches for my team, that was a great win Lose, when you gave it everything, that's hard to take in (uh-uh-uh)  Ayy, look, I do this shit for all my guys that got put under 50 shots, I'm a drummer, them guns spit thunder One shot and he dead, call that bitch the one-hit-wonder No, we don't aim for legs, tryna make it hot all summer As a small kid, I used to want a H2 Hummer My uncle did a bid, they could've gave him football numbers I went from Mandrake, daily tryna work on my jumper  Now it's gang-gang, we stay on top of shit like a plunger, uh Old heads can't trick us, drop rakes when we flick up ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
Rihanna,Needed Me,"Somebody hand me a cigarette I know I ain't had one in over a week Somebody pour me a double shot Been gettin' better by the day, but tonight I drink  You say I gotta get over you and get sober too I got a lot of habits I gotta kick Weigh out all your options and take your pick  I can either burn the bar down Or I can take your number out my phone I can give you up right now And never want you back long as I'm half-stoned If you want me to quit you, want me to get you Outta my heart and, baby, off my mind I hate to tell you, girl, but I'm only quittin' one thing at a time  I know I got me some problems About a thousand memories I gotta forget ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
"Polo G, Future",No Time Wasted (feat. Future),We done did so much around the law (21) I done seen so much I shouldn't have saw (straight up) Tatted tear drops called niagra falls It been up and down but never fall I been at the lock behind the wall (21) I been at the lock behind the  Ratchet bitches wanted Frenchie's not Felipe That's the type that put me in my mood She know that I'm hot but she come cool for me She know how to put me in my groove I know it's a lot that you can learn from me It's just one thing you that you gotta prove If you gotta walk would you still ride for me I might need a extra foot or two Gotta keep my distance they surrounding me I'mma need a extra foot or two They might have to go and build a house for me I'mma need a extra foot or  Crib same size as the galleria Spanish model with me call her señorita I dun fell in love with a hood girl She be puttin syrup in her margaritas Bought my college vibe a brand new Birkin On the weekend she be twerkin Take a shower in the Maybach ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)
Morgan Wallen,One Thing At A Time,"Yeah, yeah oh Yeah, yeah yeah  That's the way everyday goes Every time we've no control If the sky is pink and white If the ground is black and yellow It's the same way you showed me  Nod my head, don't close my eyes Halfway on a slow move It's the same way you showed me If you could fly then you'd feel south Up north's getting cold soon  The way it is, we're on land So I'm someone to hold true Keep you cool when it's still alive Won't let you down when it's all ruin  Just the same way you showed me, showed me ...  ******* This Lyrics is NOT for Commercial use ******* (1409623213357)"
